"","Month","Neighbourhood","Mean","Count"
"179",11,"HARLEM-UPPER             ",7352003,15
"180",12,"HARLEM-UPPER             ",2010263.94117647,17
"181",1,"HARLEM-WEST              ",50000,1
"182",2,"HARLEM-WEST              ",3907201,4
"183",3,"HARLEM-WEST              ",3157833.33333333,6
"184",4,"HARLEM-WEST              ",455000,1
"185",5,"HARLEM-WEST              ",3035844,3
"186",6,"HARLEM-WEST              ",1668125,4
"187",7,"HARLEM-WEST              ",705000,1
"188",8,"HARLEM-WEST              ",2107166.66666667,3
"189",9,"HARLEM-WEST              ",3983161.33333333,3
"190",10,"HARLEM-WEST              ",928205.333333333,3
"191",11,"HARLEM-WEST              ",8117500,2
"192",12,"HARLEM-WEST              ",5750000,4
"193",1,"INWOOD                   ",1031307,11
"194",2,"INWOOD                   ",312090.142857143,7
"195",3,"INWOOD                   ",1296355.55555556,9
"196",4,"INWOOD                   ",300250,6
"197",5,"INWOOD                   ",852576.923076923,13
"198",6,"INWOOD                   ",277500,8
"199",7,"INWOOD                   ",867180.181818182,11
"200",8,"INWOOD                   ",301062.5,8
"201",9,"INWOOD                   ",1107867.76923077,13
"202",10,"INWOOD                   ",2274029.18181818,11
"203",11,"INWOOD                   ",1037700,12
"204",12,"INWOOD                   ",1686234.95454545,22
"205",1,"JAVITS CENTER            ",520000,1
"206",2,"JAVITS CENTER            ",5999250,4
"207",3,"JAVITS CENTER            ",662500,2
"208",4,"JAVITS CENTER            ",21250000,1
"209",5,"JAVITS CENTER            ",424967,4
"210",6,"JAVITS CENTER            ",396043.4,5
"211",7,"JAVITS CENTER            ",56828333.3333333,3
"212",8,"JAVITS CENTER            ",30016033.5,6
"213",9,"JAVITS CENTER            ",315000,1
"214",10,"JAVITS CENTER            ",700499.5,2
"215",11,"JAVITS CENTER            ",3551422.75,8
"216",12,"JAVITS CENTER            ",33950000,3
"217",1,"KIPS BAY                 ",617359.285714286,14
"218",2,"KIPS BAY                 ",10396477.8888889,18
"219",3,"KIPS BAY                 ",752666.666666667,12
"220",4,"KIPS BAY                 ",2703546.41176471,17
"221",5,"KIPS BAY                 ",860574.074074074,27
"222",6,"KIPS BAY                 ",1109294.96969697,33
"223",7,"KIPS BAY                 ",930940.25,24
"224",8,"KIPS BAY                 ",1406903.25806452,31
"225",9,"KIPS BAY                 ",1044356.15384615,26
"226",10,"KIPS BAY                 ",738959.722222222,18
"227",11,"KIPS BAY                 ",890744.125,16
"228",12,"KIPS BAY                 ",1429533,20
"229",1,"LITTLE ITALY             ",2898171.5,4
"230",2,"LITTLE ITALY             ",7900000,1
"231",3,"LITTLE ITALY             ",797500,2
"232",4,"LITTLE ITALY             ",1900000,2
"233",5,"LITTLE ITALY             ",1580000,4
"234",6,"LITTLE ITALY             ",5057265,5
"235",7,"LITTLE ITALY             ",2661164.83333333,24
"236",8,"LITTLE ITALY             ",2491966.58333333,12
"237",9,"LITTLE ITALY             ",2165441.33333333,3
"238",10,"LITTLE ITALY             ",2485333.33333333,6
"239",11,"LITTLE ITALY             ",3495250,4
"240",12,"LITTLE ITALY             ",4740000,4
"241",1,"LOWER EAST SIDE          ",736015.964285714,28
"242",2,"LOWER EAST SIDE          ",822463.5,34
"243",3,"LOWER EAST SIDE          ",4908732.80769231,26
"244",4,"LOWER EAST SIDE          ",1191956.77142857,35
"245",5,"LOWER EAST SIDE          ",1149552.48,25
"246",6,"LOWER EAST SIDE          ",1262119.62068966,29
"247",7,"LOWER EAST SIDE          ",1633861.29032258,31
"248",8,"LOWER EAST SIDE          ",809396.425531915,47
"249",9,"LOWER EAST SIDE          ",1080965.28125,32
"250",10,"LOWER EAST SIDE          ",1635584.44117647,34
"251",11,"LOWER EAST SIDE          ",841251.1,20
