,Unnamed: 0,Month,Neighbourhood,Mean,Count
223,224,8,KIPS BAY,1406903.25806452,31
224,225,9,KIPS BAY,1044356.15384615,26
225,226,10,KIPS BAY,738959.722222222,18
226,227,11,KIPS BAY,890744.125,16
227,228,12,KIPS BAY,1429533.0,20
228,229,1,LITTLE ITALY,2898171.5,4
229,230,2,LITTLE ITALY,7900000.0,1
230,231,3,LITTLE ITALY,797500.0,2
231,232,4,LITTLE ITALY,1900000.0,2
232,233,5,LITTLE ITALY,1580000.0,4
233,234,6,LITTLE ITALY,5057265.0,5
234,235,7,LITTLE ITALY,2661164.83333333,24
235,236,8,LITTLE ITALY,2491966.58333333,12
236,237,9,LITTLE ITALY,2165441.33333333,3
237,238,10,LITTLE ITALY,2485333.33333333,6
238,239,11,LITTLE ITALY,3495250.0,4
239,240,12,LITTLE ITALY,4740000.0,4
240,241,1,LOWER EAST SIDE,736015.9642857141,28
241,242,2,LOWER EAST SIDE,822463.5,34
242,243,3,LOWER EAST SIDE,4908732.80769231,26
243,244,4,LOWER EAST SIDE,1191956.77142857,35
244,245,5,LOWER EAST SIDE,1149552.48,25
245,246,6,LOWER EAST SIDE,1262119.62068966,29
246,247,7,LOWER EAST SIDE,1633861.29032258,31
247,248,8,LOWER EAST SIDE,809396.425531915,47
248,249,9,LOWER EAST SIDE,1080965.28125,32
249,250,10,LOWER EAST SIDE,1635584.44117647,34
250,251,11,LOWER EAST SIDE,841251.1,20
251,252,12,LOWER EAST SIDE,866488.5652173909,23
252,253,1,MANHATTAN VALLEY,593868.214285714,14
253,254,2,MANHATTAN VALLEY,726376.454545455,11
254,255,3,MANHATTAN VALLEY,1592915.38461538,13
255,256,4,MANHATTAN VALLEY,888626.9285714291,14
256,257,5,MANHATTAN VALLEY,1315440.54545455,33
257,258,6,MANHATTAN VALLEY,917739.619047619,21
258,259,7,MANHATTAN VALLEY,788286.125,24
259,260,8,MANHATTAN VALLEY,955273.894736842,19
260,261,9,MANHATTAN VALLEY,3452197.875,32
261,262,10,MANHATTAN VALLEY,1035670.22222222,9
262,263,11,MANHATTAN VALLEY,2959214.23809524,21
263,264,12,MANHATTAN VALLEY,823615.384615385,13
264,265,1,MIDTOWN CBD,1385107.42857143,7
265,266,2,MIDTOWN CBD,1307625.33333333,12
266,267,3,MIDTOWN CBD,80960668.29411758,17
267,268,4,MIDTOWN CBD,1239197.3,20
268,269,5,MIDTOWN CBD,1314084.47619048,21
269,270,6,MIDTOWN CBD,105891069.5,10
270,271,7,MIDTOWN CBD,1618917.33333333,15
271,272,8,MIDTOWN CBD,27107366.5714286,21
272,273,9,MIDTOWN CBD,4488733.33333333,15
273,274,10,MIDTOWN CBD,80962882.0555556,18
274,275,11,MIDTOWN CBD,36524726.9230769,13
275,276,12,MIDTOWN CBD,1114129.16666667,12
276,277,1,MIDTOWN EAST,4222933.51612903,62
277,278,2,MIDTOWN EAST,824268.942028985,69
278,279,3,MIDTOWN EAST,1166879.72,75
279,280,4,MIDTOWN EAST,1184735.27083333,96
280,281,5,MIDTOWN EAST,1340378.70588235,102
281,282,6,MIDTOWN EAST,1705127.14414414,111
282,283,7,MIDTOWN EAST,976896.6829268291,123
283,284,8,MIDTOWN EAST,1612619.6369863,146
284,285,9,MIDTOWN EAST,1096713.81651376,109
285,286,10,MIDTOWN EAST,1149013.16513761,109
286,287,11,MIDTOWN EAST,1137027.26136364,88
287,288,12,MIDTOWN EAST,3557148.1,100
288,289,1,MIDTOWN WEST,399403.67037037,270
289,290,2,MIDTOWN WEST,330915.645038168,262
290,291,3,MIDTOWN WEST,7737407.77016129,248
291,292,4,MIDTOWN WEST,716402.8389261741,149
292,293,5,MIDTOWN WEST,1436254.46952596,443
293,294,6,MIDTOWN WEST,1393579.78378378,296
294,295,7,MIDTOWN WEST,825841.883146067,445
295,296,8,MIDTOWN WEST,701171.5013550139,369
296,297,9,MIDTOWN WEST,617420.835164835,273
297,298,10,MIDTOWN WEST,2092143.21403509,285
298,299,11,MIDTOWN WEST,2061443.58958333,480
299,300,12,MIDTOWN WEST,3495787.69811321,265
300,301,1,MORNINGSIDE HEIGHTS,286666.666666667,3
301,302,2,MORNINGSIDE HEIGHTS,350500.0,5
302,303,3,MORNINGSIDE HEIGHTS,666333.333333333,3
303,304,4,MORNINGSIDE HEIGHTS,491760.0,5
304,305,5,MORNINGSIDE HEIGHTS,4857888.625,8
305,306,6,MORNINGSIDE HEIGHTS,632233.333333333,9
306,307,7,MORNINGSIDE HEIGHTS,476166.66666666704,6
307,308,8,MORNINGSIDE HEIGHTS,357333.33333333296,9
308,309,9,MORNINGSIDE HEIGHTS,506857.14285714296,7
309,310,10,MORNINGSIDE HEIGHTS,384153.846153846,13
310,311,11,MORNINGSIDE HEIGHTS,381455.0,6
311,312,12,MORNINGSIDE HEIGHTS,436125.0,8
312,313,1,MURRAY HILL,886712.514285714,35
313,314,2,MURRAY HILL,1437438.22222222,45
314,315,3,MURRAY HILL,1467081.55882353,34
315,316,4,MURRAY HILL,825771.919354839,62
316,317,5,MURRAY HILL,1477770.18518519,54
317,318,6,MURRAY HILL,1130085.73584906,53
318,319,7,MURRAY HILL,1021810.01408451,71
319,320,8,MURRAY HILL,1041638.52542373,59
320,321,9,MURRAY HILL,2013954.95081967,61
321,322,10,MURRAY HILL,2018684.72413793,58
322,323,11,MURRAY HILL,1015881.70731707,41
323,324,12,MURRAY HILL,1511916.96923077,65
324,325,1,SOHO,3799377.88888889,18
325,326,2,SOHO,4082217.76923077,13
326,327,3,SOHO,3559203.5,34
327,328,4,SOHO,3171394.0,30
328,329,5,SOHO,7782989.88,25
329,330,6,SOHO,7772071.0,19
330,331,7,SOHO,8591183.95,20
331,332,8,SOHO,5277704.16666667,24
332,333,9,SOHO,3527190.7,20
333,334,10,SOHO,8294492.13793103,29
334,335,11,SOHO,9128305.375,16
335,336,12,SOHO,3203225.28571429,21
336,337,1,SOUTHBRIDGE,734999.666666667,3
337,338,2,SOUTHBRIDGE,1378500.0,4
338,339,3,SOUTHBRIDGE,552500.0,2
339,340,4,SOUTHBRIDGE,1587832.4,5
340,341,5,SOUTHBRIDGE,4645000.0,7
341,342,6,SOUTHBRIDGE,996666.666666667,3
342,343,7,SOUTHBRIDGE,1582549.25,4
343,344,8,SOUTHBRIDGE,753000.0,2
344,345,9,SOUTHBRIDGE,1025000.0,2
345,346,10,SOUTHBRIDGE,1617500.0,2
346,347,11,SOUTHBRIDGE,1261666.66666667,3
347,348,12,SOUTHBRIDGE,62140500.0,1
348,349,1,TRIBECA,1736053.59259259,27
349,350,2,TRIBECA,3084029.79166667,24
350,351,3,TRIBECA,2717794.14285714,63
351,352,4,TRIBECA,2741844.23684211,76
352,353,5,TRIBECA,2449719.58490566,53
353,354,6,TRIBECA,2829793.63265306,49
354,355,7,TRIBECA,6939884.39622642,53
355,356,8,TRIBECA,2203541.17021277,47
356,357,9,TRIBECA,4086749.48484848,33
357,358,10,TRIBECA,4757906.18604651,43
358,359,11,TRIBECA,1987041.27027027,37
359,360,12,TRIBECA,11292436.7941176,34
360,361,1,UPPER EAST SIDE (59-79),1473502.42990654,107
361,362,2,UPPER EAST SIDE (59-79),2141485.21100917,109
362,363,3,UPPER EAST SIDE (59-79),2420542.58333333,132
363,364,4,UPPER EAST SIDE (59-79),1869857.45637584,149
364,365,5,UPPER EAST SIDE (59-79),1566282.13496933,163
365,366,6,UPPER EAST SIDE (59-79),2385945.62318841,207
366,367,7,UPPER EAST SIDE (59-79),2342284.65196078,204
367,368,8,UPPER EAST SIDE (59-79),2186715.17021277,188
368,369,9,UPPER EAST SIDE (59-79),2059758.1589404,151
369,370,10,UPPER EAST SIDE (59-79),2167606.01595745,188
370,371,11,UPPER EAST SIDE (59-79),4422576.41044776,134
371,372,12,UPPER EAST SIDE (59-79),3429667.44324324,185
372,373,1,UPPER EAST SIDE (79-96),1257602.63366337,101
373,374,2,UPPER EAST SIDE (79-96),1569211.60714286,84
374,375,3,UPPER EAST SIDE (79-96),1580472.33673469,98
375,376,4,UPPER EAST SIDE (79-96),1700881.07272727,110
376,377,5,UPPER EAST SIDE (79-96),1489050.09395973,149
377,378,6,UPPER EAST SIDE (79-96),1535049.68449198,187
378,379,7,UPPER EAST SIDE (79-96),1841680.9132948,173
379,380,8,UPPER EAST SIDE (79-96),1475239.47976879,173
380,381,9,UPPER EAST SIDE (79-96),1617623.89230769,130
381,382,10,UPPER EAST SIDE (79-96),1868893.84180791,177
382,383,11,UPPER EAST SIDE (79-96),2019396.421875,128
383,384,12,UPPER EAST SIDE (79-96),3238358.275,120
384,385,1,UPPER EAST SIDE (96-110),2117294.83333333,6
